City,area,population,state,district,world,new,national,century,known,town,government,major,south,temple,people,capital,international,north,university,region,Rating
Cape Town,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.83
Cairo,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.71
Lanzarote,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0
Mauritius,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.84
Canary Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.4
Johannesburg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.6
Nairobi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.57
Seychelles,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.17
Windhoek,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0
Durban,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.5
Addis Ababa,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3.5
Madagascar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5
Zanzibar,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Accra,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0
Maputo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Tanzania,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.17
Kampala,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4.0
Malawi,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3.0
Lanzarote,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0
Lesotho,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0
Toronto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.71
Montreal,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.6
Calgary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.67
Ottawa,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.8
Vancouver,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Mexico City,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5
Acapulco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
New York City,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.63
Los Angeles,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.86
Chicago,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.75
San Francisco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.25
Seattle,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.33
