City,Mountain,Desert,Waterfall,Beach,River,Workship-place,Climate,Zoo,Park,Travel,Archaelogical-site,Festival,Pollution,Tourist,Cuisine,Safety,Museum,Stadium,Market,Concert,Rating
Cape Town,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,5.0
Cairo,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,4.5
Lanzarote,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,4
Mauritius,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,4.0
Canary Islands,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,4.5
Johannesburg,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,3.5
Nairobi,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,4.5
Seychelles,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,4
Windhoek,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,4
Durban,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,4.5
Addis Ababa,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,3.5
Madagascar,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,3.5
Zanzibar,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,4
Accra,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,4
Maputo,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,4
Tanzania,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,4
Kampala,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,4
Malawi,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,3
Lanzarote,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,4
Lesotho,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,3
Toronto,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,4.5
Montreal,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,4.5
Calgary,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,4.5
Ottawa,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,5.0
Vancouver,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,4
Mexico City,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,4.5
Acapulco,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,4
New York City,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,4.5
Los Angeles,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,4.0
Chicago,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5
San Francisco,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,4
Seattle,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,4.5
Detroit,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,4
Washington  D.C.,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,4.5
Oklahoma City,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,4.5
Las Vegas,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,4.5
Buenos Aires,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,4
Rio de Janerio,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,4.5
Santiago,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,4
Valencia  Carabobo,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.5
Ladakh,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,4.5
